Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm)
2010,2,18,NaN,NaN,NaN,NaN
2010,2,19,NaN,NaN,NaN,NaN
2010,2,20,NaN,NaN,NaN,NaN
2010,2,21,NaN,NaN,NaN,NaN
2010,2,22,NaN,NaN,NaN,0
2010,2,23,-4.8,-22,-13.4,0
2010,2,24,-16.6,-22,-19.3,0
2010,2,25,NaN,NaN,NaN,NaN
2010,2,26,NaN,NaN,NaN,NaN
2010,2,27,NaN,NaN,NaN,NaN
2010,2,28,NaN,NaN,NaN,NaN
2010,3,1,NaN,NaN,NaN,NaN
2010,3,2,NaN,NaN,NaN,NaN
2010,3,3,NaN,NaN,NaN,NaN
2010,3,4,NaN,NaN,NaN,NaN
2010,3,5,NaN,NaN,NaN,NaN
2010,3,6,NaN,NaN,NaN,NaN
2010,3,7,NaN,NaN,NaN,NaN
2010,3,8,1.5,-17,-7.8,0
2010,3,9,NaN,NaN,NaN,0
2010,3,10,5,-2,1.5,0
2010,3,11,NaN,NaN,NaN,0
2010,3,12,NaN,NaN,NaN,NaN
2010,3,13,NaN,NaN,NaN,NaN
2010,3,14,NaN,NaN,NaN,NaN
2010,3,15,NaN,NaN,NaN,NaN
2010,3,16,NaN,NaN,NaN,NaN
2010,3,17,0,-20.5,-10.3,0
2010,3,18,NaN,NaN,NaN,0
2010,3,19,NaN,NaN,NaN,NaN
2010,3,20,NaN,NaN,NaN,NaN
2010,3,21,NaN,NaN,NaN,NaN
2010,3,22,0,-34.6,-17.3,0
2010,3,23,NaN,NaN,NaN,NaN
2010,3,24,NaN,NaN,NaN,NaN
2010,3,25,NaN,NaN,NaN,NaN
2010,3,26,NaN,NaN,NaN,NaN
2010,3,27,NaN,NaN,NaN,NaN
2010,3,28,NaN,NaN,NaN,NaN
2010,3,29,NaN,NaN,NaN,NaN
2010,3,30,NaN,NaN,NaN,0
2010,3,31,NaN,NaN,NaN,0
2010,4,1,NaN,NaN,NaN,NaN
2010,4,2,NaN,NaN,NaN,NaN
2010,4,3,NaN,NaN,NaN,NaN
2010,4,4,NaN,NaN,NaN,NaN
2010,4,5,NaN,NaN,NaN,NaN
2010,4,6,NaN,NaN,NaN,0
2010,4,7,NaN,NaN,NaN,NaN
2010,4,8,3,-8,-2.5,0
2010,4,9,NaN,NaN,NaN,NaN
2010,4,10,NaN,NaN,NaN,NaN
2010,4,11,NaN,NaN,NaN,NaN
2010,4,12,NaN,NaN,NaN,NaN
2010,4,13,NaN,NaN,NaN,NaN
2010,4,14,13,-6,3.5,0
2010,4,15,NaN,NaN,NaN,0
2010,4,16,NaN,NaN,NaN,NaN
2010,4,17,NaN,NaN,NaN,NaN
2010,4,18,NaN,NaN,NaN,NaN
2010,4,19,NaN,NaN,NaN,0
2010,4,20,21,2,11.5,0
2010,4,21,NaN,5.7,13.9,0
2010,4,22,8.1,2,5.1,0
2010,4,23,NaN,NaN,NaN,NaN
2010,4,24,NaN,NaN,NaN,NaN
2010,4,25,NaN,NaN,NaN,NaN
2010,4,26,NaN,NaN,NaN,0
2010,4,27,NaN,NaN,NaN,NaN
2010,4,28,NaN,NaN,NaN,NaN
2010,4,29,NaN,NaN,NaN,NaN
2010,4,30,NaN,NaN,NaN,NaN
2010,5,1,NaN,NaN,NaN,NaN
2010,5,2,NaN,NaN,NaN,NaN
2010,5,3,NaN,NaN,NaN,0
2010,5,4,9,1,5,0
2010,5,5,11,-6,2.5,0
2010,5,6,NaN,NaN,NaN,0
2010,5,7,NaN,NaN,NaN,NaN
2010,5,8,NaN,NaN,NaN,NaN
2010,5,9,NaN,NaN,NaN,NaN
2010,5,10,NaN,NaN,NaN,NaN
2010,5,11,NaN,NaN,NaN,NaN
2010,5,12,NaN,NaN,NaN,0
2010,5,13,15,4,9.5,0
2010,5,14,NaN,NaN,NaN,NaN
2010,5,15,NaN,NaN,NaN,NaN
2010,5,16,NaN,NaN,NaN,NaN
2010,5,17,18.9,-2,8.5,0
2010,5,18,15.9,-2,7,0
2010,5,19,18,6.5,12.3,0
2010,5,20,17,7,12,0
2010,5,21,NaN,NaN,NaN,NaN
2010,5,22,NaN,NaN,NaN,NaN
2010,5,23,NaN,NaN,NaN,NaN
2010,5,24,NaN,NaN,NaN,NaN
2010,5,25,NaN,NaN,NaN,NaN
2010,5,26,NaN,NaN,NaN,NaN
2010,5,27,NaN,NaN,NaN,NaN
2010,5,28,NaN,NaN,NaN,NaN
2010,5,29,NaN,NaN,NaN,NaN
2010,5,30,NaN,NaN,NaN,NaN
2010,5,31,NaN,NaN,NaN,NaN
2010,6,1,NaN,NaN,NaN,NaN
2010,6,2,26.9,7,17,0
2010,6,3,27,8.8,17.9,0
2010,6,4,NaN,NaN,NaN,NaN
2010,6,5,NaN,NaN,NaN,NaN
2010,6,6,NaN,NaN,NaN,NaN
2010,6,7,NaN,NaN,NaN,0
2010,6,8,22,8.8,15.4,0
2010,6,9,NaN,NaN,NaN,0
2010,6,10,25.1,5.9,15.5,0
2010,6,11,NaN,NaN,NaN,NaN
2010,6,12,NaN,NaN,NaN,NaN
2010,6,13,NaN,NaN,NaN,NaN
2010,6,14,NaN,NaN,NaN,NaN
2010,6,15,NaN,NaN,NaN,NaN
2010,6,16,27,16,21.5,0
2010,6,17,NaN,NaN,NaN,0
2010,6,18,NaN,NaN,NaN,NaN
2010,6,19,NaN,NaN,NaN,NaN
2010,6,20,NaN,NaN,NaN,NaN
2010,6,21,NaN,NaN,NaN,NaN
2010,6,22,20,7.5,13.8,0
2010,6,23,NaN,NaN,NaN,NaN
2010,6,24,NaN,NaN,NaN,NaN
2010,6,25,NaN,NaN,NaN,NaN
2010,6,26,NaN,NaN,NaN,NaN
2010,6,27,NaN,NaN,NaN,NaN
2010,6,28,NaN,NaN,NaN,NaN
2010,6,29,NaN,NaN,NaN,NaN
2010,6,30,NaN,NaN,NaN,NaN
2010,7,1,NaN,NaN,NaN,NaN
2010,7,2,NaN,NaN,NaN,NaN
2010,7,3,NaN,NaN,NaN,NaN
2010,7,4,NaN,NaN,NaN,NaN
2010,7,5,NaN,NaN,NaN,NaN
2010,7,6,NaN,NaN,NaN,NaN
2010,7,7,NaN,NaN,NaN,NaN
2010,7,8,NaN,NaN,NaN,NaN
2010,7,9,NaN,NaN,NaN,NaN
2010,7,10,NaN,NaN,NaN,NaN
2010,7,11,NaN,NaN,NaN,NaN
2010,7,12,NaN,NaN,NaN,NaN
2010,7,13,NaN,NaN,NaN,NaN
2010,7,14,NaN,NaN,NaN,NaN
2010,7,15,NaN,NaN,NaN,NaN
2010,7,16,NaN,NaN,NaN,NaN
2010,7,17,NaN,NaN,NaN,NaN
2010,7,18,NaN,NaN,NaN,NaN
2010,7,19,NaN,NaN,NaN,NaN
2010,7,20,NaN,NaN,NaN,NaN
2010,7,21,NaN,NaN,NaN,NaN
2010,7,22,NaN,NaN,NaN,NaN
2010,7,23,NaN,NaN,NaN,NaN
2010,7,24,NaN,NaN,NaN,NaN
2010,7,25,NaN,NaN,NaN,NaN
2010,7,26,NaN,NaN,NaN,NaN
2010,7,27,NaN,NaN,NaN,NaN
2010,7,28,NaN,NaN,NaN,NaN
2010,7,29,NaN,NaN,NaN,NaN
2010,7,30,NaN,NaN,NaN,NaN
2010,7,31,NaN,NaN,NaN,NaN
2010,8,1,NaN,NaN,NaN,NaN
2010,8,2,NaN,NaN,NaN,NaN
2010,8,3,NaN,NaN,NaN,NaN
2010,8,4,NaN,NaN,NaN,NaN
2010,8,5,NaN,NaN,NaN,NaN
2010,8,6,NaN,NaN,NaN,NaN
2010,8,7,NaN,NaN,NaN,NaN
2010,8,8,NaN,NaN,NaN,NaN
2010,8,9,NaN,NaN,NaN,NaN
2010,8,10,NaN,NaN,NaN,NaN
2010,8,11,NaN,NaN,NaN,NaN
2010,8,12,NaN,NaN,NaN,NaN
2010,8,13,NaN,NaN,NaN,NaN
2010,8,14,NaN,NaN,NaN,NaN
2010,8,15,NaN,NaN,NaN,NaN
2010,8,16,NaN,NaN,NaN,NaN
2010,8,17,NaN,NaN,NaN,NaN
2010,8,18,NaN,NaN,NaN,NaN
2010,8,19,NaN,NaN,NaN,NaN
2010,8,20,NaN,NaN,NaN,NaN
2010,8,21,NaN,NaN,NaN,NaN
2010,8,22,NaN,NaN,NaN,NaN
2010,8,23,NaN,NaN,NaN,NaN
2010,8,24,NaN,NaN,NaN,NaN
2010,8,25,NaN,NaN,NaN,NaN
2010,8,26,NaN,NaN,NaN,NaN
2010,8,27,NaN,NaN,NaN,NaN
2010,8,28,NaN,NaN,NaN,NaN
2010,8,29,NaN,NaN,NaN,NaN
2010,8,30,NaN,NaN,NaN,NaN
2010,8,31,NaN,NaN,NaN,NaN
2010,9,1,NaN,NaN,NaN,NaN
2010,9,2,NaN,NaN,NaN,NaN
2010,9,3,NaN,NaN,NaN,NaN
2010,9,4,NaN,NaN,NaN,NaN
2010,9,5,NaN,NaN,NaN,NaN
2010,9,6,NaN,NaN,NaN,NaN
2010,9,7,NaN,NaN,NaN,NaN
2010,9,8,NaN,NaN,NaN,NaN
2010,9,9,NaN,NaN,NaN,NaN
2010,9,10,NaN,NaN,NaN,NaN
2010,9,11,NaN,NaN,NaN,NaN
2010,9,12,NaN,NaN,NaN,NaN
2010,9,13,NaN,NaN,NaN,NaN
2010,9,14,NaN,NaN,NaN,NaN
2010,9,15,NaN,NaN,NaN,NaN
2010,9,16,NaN,NaN,NaN,NaN
2010,9,17,NaN,NaN,NaN,NaN
2010,9,18,NaN,NaN,NaN,NaN
2010,9,19,NaN,NaN,NaN,NaN
2010,9,20,NaN,NaN,NaN,NaN
2010,9,21,NaN,NaN,NaN,NaN
2010,9,22,NaN,NaN,NaN,NaN
2010,9,23,NaN,NaN,NaN,NaN
2010,9,24,NaN,NaN,NaN,NaN
2010,9,25,NaN,NaN,NaN,NaN
2010,9,26,NaN,NaN,NaN,NaN
2010,9,27,NaN,NaN,NaN,NaN
2010,9,28,NaN,NaN,NaN,NaN
2010,9,29,NaN,NaN,NaN,NaN
2010,9,30,NaN,NaN,NaN,NaN
2010,10,1,NaN,NaN,NaN,NaN
2010,10,2,NaN,NaN,NaN,NaN
2010,10,3,NaN,NaN,NaN,NaN
2010,10,4,NaN,NaN,NaN,NaN
2010,10,5,NaN,NaN,NaN,NaN
2010,10,6,NaN,NaN,NaN,NaN
2010,10,7,NaN,NaN,NaN,NaN
2010,10,8,NaN,NaN,NaN,NaN
2010,10,9,NaN,NaN,NaN,NaN
2010,10,10,NaN,NaN,NaN,NaN
2010,10,11,NaN,NaN,NaN,NaN
2010,10,12,NaN,NaN,NaN,NaN
2010,10,13,NaN,NaN,NaN,NaN
2010,10,14,NaN,NaN,NaN,NaN
2010,10,15,NaN,NaN,NaN,NaN
2010,10,16,NaN,NaN,NaN,NaN
2010,10,17,NaN,NaN,NaN,NaN
2010,10,18,NaN,NaN,NaN,NaN
2010,10,19,NaN,NaN,NaN,NaN
2010,10,20,NaN,NaN,NaN,NaN
2010,10,21,NaN,NaN,NaN,NaN
2010,10,22,NaN,NaN,NaN,NaN
2010,10,23,NaN,NaN,NaN,NaN
2010,10,24,NaN,NaN,NaN,NaN
2010,10,25,NaN,NaN,NaN,NaN
2010,10,26,NaN,NaN,NaN,NaN
2010,10,27,NaN,NaN,NaN,NaN
2010,10,28,NaN,NaN,NaN,NaN
2010,10,29,NaN,NaN,NaN,NaN
2010,10,30,NaN,NaN,NaN,NaN
2010,10,31,NaN,NaN,NaN,NaN
2010,11,1,NaN,NaN,NaN,NaN
2010,11,2,NaN,NaN,NaN,NaN
2010,11,3,NaN,NaN,NaN,NaN
2010,11,4,NaN,NaN,NaN,NaN
2010,11,5,NaN,NaN,NaN,NaN
2010,11,6,NaN,NaN,NaN,NaN
2010,11,7,NaN,NaN,NaN,NaN
2010,11,8,NaN,NaN,NaN,NaN
2010,11,9,NaN,NaN,NaN,NaN
2010,11,10,NaN,NaN,NaN,NaN
2010,11,11,NaN,NaN,NaN,NaN
2010,11,12,NaN,NaN,NaN,NaN
2010,11,13,NaN,NaN,NaN,NaN
2010,11,14,NaN,NaN,NaN,NaN
2010,11,15,NaN,NaN,NaN,NaN
2010,11,16,NaN,NaN,NaN,NaN
2010,11,17,NaN,NaN,NaN,NaN
2010,11,18,NaN,NaN,NaN,NaN
2010,11,19,NaN,NaN,NaN,NaN
2010,11,20,NaN,NaN,NaN,NaN
2010,11,21,NaN,NaN,NaN,NaN
2010,11,22,NaN,NaN,NaN,NaN
2010,11,23,NaN,NaN,NaN,NaN
2010,11,24,NaN,NaN,NaN,NaN
2010,11,25,NaN,NaN,NaN,NaN
2010,11,26,NaN,NaN,NaN,NaN
2010,11,27,NaN,NaN,NaN,NaN
2010,11,28,NaN,NaN,NaN,NaN
2010,11,29,NaN,NaN,NaN,NaN
2010,11,30,NaN,NaN,NaN,NaN
2010,12,1,NaN,NaN,NaN,NaN
2010,12,2,NaN,NaN,NaN,NaN
2010,12,3,NaN,NaN,NaN,NaN
2010,12,4,NaN,NaN,NaN,NaN
2010,12,5,NaN,NaN,NaN,NaN
2010,12,6,NaN,NaN,NaN,NaN
2010,12,7,NaN,NaN,NaN,NaN
2010,12,8,NaN,NaN,NaN,NaN
2010,12,9,NaN,NaN,NaN,NaN
2010,12,10,NaN,NaN,NaN,NaN
2010,12,11,NaN,NaN,NaN,NaN
2010,12,12,NaN,NaN,NaN,NaN
2010,12,13,NaN,NaN,NaN,NaN
2010,12,14,NaN,NaN,NaN,NaN
2010,12,15,NaN,NaN,NaN,NaN
2010,12,16,NaN,NaN,NaN,NaN
2010,12,17,NaN,NaN,NaN,NaN
2010,12,18,NaN,NaN,NaN,NaN
2010,12,19,NaN,NaN,NaN,NaN
2010,12,20,NaN,NaN,NaN,NaN
2010,12,21,NaN,NaN,NaN,NaN
2010,12,22,NaN,NaN,NaN,NaN
2010,12,23,NaN,NaN,NaN,NaN
2010,12,24,NaN,NaN,NaN,NaN
2010,12,25,NaN,NaN,NaN,NaN
2010,12,26,NaN,NaN,NaN,NaN
2010,12,27,NaN,NaN,NaN,NaN
2010,12,28,NaN,NaN,NaN,NaN
2010,12,29,NaN,NaN,NaN,NaN
2010,12,30,NaN,NaN,NaN,NaN
2010,12,31,NaN,NaN,NaN,NaN
2010,1,1,NaN,NaN,NaN,NaN
2010,1,2,NaN,NaN,NaN,NaN
2010,1,3,NaN,NaN,NaN,NaN
2010,1,4,NaN,NaN,NaN,NaN
2010,1,5,NaN,NaN,NaN,NaN
2010,1,6,NaN,NaN,NaN,NaN
2010,1,7,NaN,NaN,NaN,NaN
2010,1,8,NaN,NaN,NaN,NaN
2010,1,9,NaN,NaN,NaN,NaN
2010,1,10,NaN,NaN,NaN,NaN
2010,1,11,NaN,NaN,NaN,NaN
2010,1,12,NaN,NaN,NaN,NaN
2010,1,13,NaN,NaN,NaN,NaN
2010,1,14,NaN,NaN,NaN,NaN
2010,1,15,NaN,NaN,NaN,NaN
2010,1,16,NaN,NaN,NaN,NaN
2010,1,17,NaN,NaN,NaN,NaN
2010,1,18,NaN,NaN,NaN,NaN
2010,1,19,NaN,NaN,NaN,NaN
2010,1,20,NaN,NaN,NaN,NaN
2010,1,21,NaN,NaN,NaN,NaN
2010,1,22,NaN,NaN,NaN,NaN
2010,1,23,NaN,NaN,NaN,NaN
2010,1,24,NaN,NaN,NaN,NaN
2010,1,25,NaN,NaN,NaN,NaN
2010,1,26,NaN,NaN,NaN,NaN
2010,1,27,NaN,NaN,NaN,NaN
2010,1,28,NaN,NaN,NaN,NaN
2010,1,29,NaN,NaN,NaN,NaN
2010,1,30,NaN,NaN,NaN,NaN
2010,1,31,NaN,NaN,NaN,NaN
2010,2,1,NaN,NaN,NaN,NaN
2010,2,2,NaN,NaN,NaN,NaN
2010,2,3,NaN,NaN,NaN,NaN
2010,2,4,-27.8,-36,-31.9,0
2010,2,5,NaN,NaN,NaN,NaN
2010,2,6,NaN,NaN,NaN,NaN
2010,2,7,NaN,NaN,NaN,NaN
2010,2,8,-13,-23,-18,0
2010,2,9,NaN,NaN,NaN,0
2010,2,10,-18,-30,-24,0
2010,2,11,-15,-23.6,-19.3,0
2010,2,12,NaN,NaN,NaN,NaN
2010,2,13,NaN,NaN,NaN,NaN
2010,2,14,NaN,NaN,NaN,NaN
2010,2,15,NaN,NaN,NaN,NaN
2010,2,16,NaN,NaN,NaN,NaN
2010,2,17,NaN,NaN,NaN,NaN
2010,2,18,NaN,NaN,NaN,NaN
2010,2,19,NaN,NaN,NaN,NaN
2010,2,20,NaN,NaN,NaN,NaN
2010,2,21,NaN,NaN,NaN,NaN
2010,2,22,NaN,NaN,NaN,0
2010,2,23,-4.8,-22,-13.4,0
2010,2,24,-16.6,-22,-19.3,0
2010,2,25,NaN,NaN,NaN,NaN
2010,2,26,NaN,NaN,NaN,NaN
2010,2,27,NaN,NaN,NaN,NaN
2010,2,28,NaN,NaN,NaN,NaN
2010,3,1,NaN,NaN,NaN,NaN
2010,3,2,NaN,NaN,NaN,NaN
2010,3,3,NaN,NaN,NaN,NaN
2010,3,4,NaN,NaN,NaN,NaN
2010,3,5,NaN,NaN,NaN,NaN
2010,3,6,NaN,NaN,NaN,NaN
2010,3,7,NaN,NaN,NaN,NaN
2010,3,8,1.5,-17,-7.8,0
2010,3,9,NaN,NaN,NaN,0
2010,3,10,5,-2,1.5,0
2010,3,11,NaN,NaN,NaN,0
2010,3,12,NaN,NaN,NaN,NaN
2010,3,13,NaN,NaN,NaN,NaN
2010,3,14,NaN,NaN,NaN,NaN
2010,3,15,NaN,NaN,NaN,NaN
2010,3,16,NaN,NaN,NaN,NaN
2010,3,17,0,-20.5,-10.3,0
2010,3,18,NaN,NaN,NaN,0
2010,3,19,NaN,NaN,NaN,NaN
2010,3,20,NaN,NaN,NaN,NaN
2010,3,21,NaN,NaN,NaN,NaN
2010,3,22,0,-34.6,-17.3,0
2010,3,23,NaN,NaN,NaN,NaN
2010,3,24,NaN,NaN,NaN,NaN
2010,3,25,NaN,NaN,NaN,NaN
2010,3,26,NaN,NaN,NaN,NaN
2010,3,27,NaN,NaN,NaN,NaN
2010,3,28,NaN,NaN,NaN,NaN
2010,3,29,NaN,NaN,NaN,NaN
2010,3,30,NaN,NaN,NaN,0
2010,3,31,NaN,NaN,NaN,0
2010,4,1,NaN,NaN,NaN,NaN
2010,4,2,NaN,NaN,NaN,NaN
2010,4,3,NaN,NaN,NaN,NaN
2010,4,4,NaN,NaN,NaN,NaN
2010,4,5,NaN,NaN,NaN,NaN
2010,4,6,NaN,NaN,NaN,0
2010,4,7,NaN,NaN,NaN,NaN
2010,4,8,3,-8,-2.5,0
2010,4,9,NaN,NaN,NaN,NaN
2010,4,10,NaN,NaN,NaN,NaN
2010,4,11,NaN,NaN,NaN,NaN
2010,4,12,NaN,NaN,NaN,NaN
2010,4,13,NaN,NaN,NaN,NaN
2010,4,14,13,-6,3.5,0
2010,4,15,NaN,NaN,NaN,0
2010,4,16,NaN,NaN,NaN,NaN
2010,4,17,NaN,NaN,NaN,NaN
2010,4,18,NaN,NaN,NaN,NaN
2010,4,19,NaN,NaN,NaN,0
2010,4,20,21,2,11.5,0
2010,4,21,NaN,5.7,13.9,0
2010,4,22,8.1,2,5.1,0
2010,4,23,NaN,NaN,NaN,NaN
2010,4,24,NaN,NaN,NaN,NaN
2010,4,25,NaN,NaN,NaN,NaN
2010,4,26,NaN,NaN,NaN,0
2010,4,27,NaN,NaN,NaN,NaN
2010,4,28,NaN,NaN,NaN,NaN
2010,4,29,NaN,NaN,NaN,NaN
2010,4,30,NaN,NaN,NaN,NaN
2010,5,1,NaN,NaN,NaN,NaN
2010,5,2,NaN,NaN,NaN,NaN
2010,5,3,NaN,NaN,NaN,0
2010,5,4,9,1,5,0
2010,5,5,11,-6,2.5,0
2010,5,6,NaN,NaN,NaN,0
2010,5,7,NaN,NaN,NaN,NaN
2010,5,8,NaN,NaN,NaN,NaN
2010,5,9,NaN,NaN,NaN,NaN
2010,5,10,NaN,NaN,NaN,NaN
2010,5,11,NaN,NaN,NaN,NaN
2010,5,12,NaN,NaN,NaN,0
2010,5,13,15,4,9.5,0
2010,5,14,NaN,NaN,NaN,NaN
2010,5,15,NaN,NaN,NaN,NaN
2010,5,16,NaN,NaN,NaN,NaN
2010,5,17,18.9,-2,8.5,0
2010,5,18,15.9,-2,7,0
2010,5,19,18,6.5,12.3,0
2010,5,20,17,7,12,0
2010,5,21,NaN,NaN,NaN,NaN
2010,5,22,NaN,NaN,NaN,NaN
2010,5,23,NaN,NaN,NaN,NaN
2010,5,24,NaN,NaN,NaN,NaN
2010,5,25,NaN,NaN,NaN,NaN
2010,5,26,NaN,NaN,NaN,NaN
2010,5,27,NaN,NaN,NaN,NaN
2010,5,28,NaN,NaN,NaN,NaN
2010,5,29,NaN,NaN,NaN,NaN
2010,5,30,NaN,NaN,NaN,NaN
2010,5,31,NaN,NaN,NaN,NaN
2010,6,1,NaN,NaN,NaN,NaN
2010,6,2,26.9,7,17,0
2010,6,3,27,8.8,17.9,0
2010,6,4,NaN,NaN,NaN,NaN
2010,6,5,NaN,NaN,NaN,NaN
2010,6,6,NaN,NaN,NaN,NaN
2010,6,7,NaN,NaN,NaN,0
2010,6,8,22,8.8,15.4,0
2010,6,9,NaN,NaN,NaN,0
2010,6,10,25.1,5.9,15.5,0
2010,6,11,NaN,NaN,NaN,NaN
2010,6,12,NaN,NaN,NaN,NaN
2010,6,13,NaN,NaN,NaN,NaN
2010,6,14,NaN,NaN,NaN,NaN
2010,6,15,NaN,NaN,NaN,NaN
2010,6,16,27,16,21.5,0
2010,6,17,NaN,NaN,NaN,0
2010,6,18,NaN,NaN,NaN,NaN
2010,6,19,NaN,NaN,NaN,NaN
2010,6,20,NaN,NaN,NaN,NaN
2010,6,21,NaN,NaN,NaN,NaN
2010,6,22,20,7.5,13.8,0
2010,6,23,NaN,NaN,NaN,NaN
2010,6,24,NaN,NaN,NaN,NaN
2010,6,25,NaN,NaN,NaN,NaN
2010,6,26,NaN,NaN,NaN,NaN
2010,6,27,NaN,NaN,NaN,NaN
2010,6,28,NaN,NaN,NaN,NaN
2010,6,29,NaN,NaN,NaN,NaN
2010,6,30,NaN,NaN,NaN,NaN
2010,7,1,NaN,NaN,NaN,NaN
2010,7,2,NaN,NaN,NaN,NaN
2010,7,3,NaN,NaN,NaN,NaN
2010,7,4,NaN,NaN,NaN,NaN
2010,7,5,NaN,NaN,NaN,NaN
2010,7,6,NaN,NaN,NaN,NaN
2010,7,7,NaN,NaN,NaN,NaN
2010,7,8,NaN,NaN,NaN,NaN
2010,7,9,NaN,NaN,NaN,NaN
2010,7,10,NaN,NaN,NaN,NaN
2010,7,11,NaN,NaN,NaN,NaN
2010,7,12,NaN,NaN,NaN,NaN
2010,7,13,NaN,NaN,NaN,NaN
2010,7,14,NaN,NaN,NaN,NaN
2010,7,15,NaN,NaN,NaN,NaN
2010,7,16,NaN,NaN,NaN,NaN
2010,7,17,NaN,NaN,NaN,NaN
2010,7,18,NaN,NaN,NaN,NaN
2010,7,19,NaN,NaN,NaN,NaN
2010,7,20,NaN,NaN,NaN,NaN
2010,7,21,NaN,NaN,NaN,NaN
2010,7,22,NaN,NaN,NaN,NaN
2010,7,23,NaN,NaN,NaN,NaN
2010,7,24,NaN,NaN,NaN,NaN
2010,7,25,NaN,NaN,NaN,NaN
2010,7,26,NaN,NaN,NaN,NaN
2010,7,27,NaN,NaN,NaN,NaN
2010,7,28,NaN,NaN,NaN,NaN
2010,7,29,NaN,NaN,NaN,NaN
2010,7,30,NaN,NaN,NaN,NaN
2010,7,31,NaN,NaN,NaN,NaN
2010,8,1,NaN,NaN,NaN,NaN
2010,8,2,NaN,NaN,NaN,NaN
2010,8,3,NaN,NaN,NaN,NaN
2010,8,4,NaN,NaN,NaN,NaN
2010,8,5,NaN,NaN,NaN,NaN
2010,8,6,NaN,NaN,NaN,NaN
2010,8,7,NaN,NaN,NaN,NaN
2010,8,8,NaN,NaN,NaN,NaN
2010,8,9,NaN,NaN,NaN,NaN
2010,8,10,NaN,NaN,NaN,NaN
2010,8,11,NaN,NaN,NaN,NaN
2010,8,12,NaN,NaN,NaN,NaN
2010,8,13,NaN,NaN,NaN,NaN
2010,8,14,NaN,NaN,NaN,NaN
2010,8,15,NaN,NaN,NaN,NaN
2010,8,16,NaN,NaN,NaN,NaN
2010,8,17,NaN,NaN,NaN,NaN
2010,8,18,NaN,NaN,NaN,NaN
2010,8,19,NaN,NaN,NaN,NaN
2010,8,20,NaN,NaN,NaN,NaN
2010,8,21,NaN,NaN,NaN,NaN
2010,8,22,NaN,NaN,NaN,NaN
2010,8,23,NaN,NaN,NaN,NaN
2010,8,24,NaN,NaN,NaN,NaN
2010,8,25,NaN,NaN,NaN,NaN
2010,8,26,NaN,NaN,NaN,NaN
2010,8,27,NaN,NaN,NaN,NaN
2010,8,28,NaN,NaN,NaN,NaN
2010,8,29,NaN,NaN,NaN,NaN
2010,8,30,NaN,NaN,NaN,NaN
2010,8,31,NaN,NaN,NaN,NaN
2010,9,1,NaN,NaN,NaN,NaN
2010,9,2,NaN,NaN,NaN,NaN
2010,9,3,NaN,NaN,NaN,NaN
2010,9,4,NaN,NaN,NaN,NaN
2010,9,5,NaN,NaN,NaN,NaN
2010,9,6,NaN,NaN,NaN,NaN
2010,9,7,NaN,NaN,NaN,NaN
2010,9,8,NaN,NaN,NaN,NaN
2010,9,9,NaN,NaN,NaN,NaN
